List of packages in environment: "/home/eddie/miniforge3/envs/bio-base"

  Name                       Version            Build                 Channel    
───────────────────────────────────────────────────────────────────────────────────
  _libgcc_mutex              0.1                conda_forge           conda-forge
  _openmp_mutex              4.5                2_gnu                 conda-forge
  _python_abi3_support       1.0                hd8ed1ab_2            conda-forge
  alsa-lib                   1.2.15.1           hb03c661_0            conda-forge
  annotated-types            0.7.0              pyhd8ed1ab_1          conda-forge
  attrs                      25.4.0             pyhcf101f3_1          conda-forge
  backports.zstd             1.3.0              py311h6b1f9c4_0       conda-forge
  bcftools                   1.6                0                     bioconda   
  bedtools                   2.31.1             h13024bc_3            bioconda   
  brotli-python              1.2.0              py311h66f275b_1       conda-forge
  bzip2                      1.0.8              hda65f42_8            conda-forge
  c-ares                     1.34.6             hb03c661_0            conda-forge
  ca-certificates            2025.11.12         hbd8a1cb_0            conda-forge
  cairo                      1.18.4             he90730b_1            conda-forge
  certifi                    2025.11.12         pyhd8ed1ab_0          conda-forge
  charset-normalizer         3.4.4              pyhd8ed1ab_0          conda-forge
  click                      8.3.1              pyh8f84b5b_1          conda-forge
  colorama                   0.4.6              pyhd8ed1ab_1          conda-forge
  coloredlogs                15.0.1             pyhd8ed1ab_4          conda-forge
  colormath                  3.0.0              pyhd8ed1ab_4          conda-forge
  cpython                    3.11.14            py311hd8ed1ab_2       conda-forge
  curl                       8.17.0             h4e3cde8_1            conda-forge
  expat                      2.7.3              hecca717_0            conda-forge
  fastqc                     0.12.1             hdfd78af_0            bioconda   
  font-ttf-dejavu-sans-mono  2.37               hab24e00_0            conda-forge
  font-ttf-inconsolata       3.000              h77eed37_0            conda-forge
  font-ttf-source-code-pro   2.038              h77eed37_0            conda-forge
  font-ttf-ubuntu            0.83               h77eed37_3            conda-forge
  fontconfig                 2.15.0             h7e30c49_1            conda-forge
  fonts-conda-ecosystem      1                  0                     conda-forge
  fonts-conda-forge          1                  hc364b38_1            conda-forge
  freetype                   2.14.1             ha770c72_0            conda-forge
  giflib                     5.2.2              hd590300_0            conda-forge
  graphite2                  1.3.14             hecca717_2            conda-forge
  h2                         4.3.0              pyhcf101f3_0          conda-forge
  harfbuzz                   12.3.0             h6083320_0            conda-forge
  hpack                      4.1.0              pyhd8ed1ab_0          conda-forge
  htslib                     1.23               h566b1c6_0            bioconda   
  humanfriendly              10.0               pyh707e725_8          conda-forge
  humanize                   4.15.0             pyhd8ed1ab_0          conda-forge
  hyperframe                 6.1.0              pyhd8ed1ab_0          conda-forge
  icu                        78.1               h33c6efd_0            conda-forge
  idna                       3.11               pyhd8ed1ab_0          conda-forge
  importlib-metadata         8.7.0              pyhe01879c_1          conda-forge
  jinja2                     3.1.6              pyhcf101f3_1          conda-forge
  jsonschema                 4.25.1             pyhe01879c_0          conda-forge
  jsonschema-specifications  2025.9.1           pyhcf101f3_0          conda-forge
  kaleido-core               0.2.1              h3644ca4_0            conda-forge
  keyutils                   1.6.3              hb9d3cd8_0            conda-forge
